 i   2*Tz    i_sp      en_sp      lam      en_phon
  522   -1    4 -15.8283318306  33.60705
  523   -1    4 -15.8283318314  33.73807
  524   -1    4 -15.8283318315  33.70853
  525   -1    4 -15.8283318316  33.80840
  526   -1    4 -15.8283318317  33.77863
  527   -1    4 -15.8283318318  33.88549
  528   -1    4 -15.8283318319  33.88319
  529   -1    4 -15.8283318320  33.98514
  530   -1    4 -15.8283318321  33.95686
  531   -1    4 -15.8283318322  34.06545
  532   -1    4 -15.8283318323  34.03536
  533   -1    4 -15.8283318324  33.96624
  534   -1    4 -15.8283318325  34.13275
  535   -1    4 -15.8283318326  34.11067
  536   -1    4 -15.8283318340  34.17051
  537   -1    4 -15.8283318341  34.25854
  538   -1    4 -15.8283318342  34.30445
  539   -1    4 -15.8283318343  34.29155
  540   -1    4 -15.8283318344  34.37257
  541   -1    4 -15.8283318345  34.42217
  542   -1    4 -15.8283318346  34.62505
  543   -1    4 -15.8283318347  34.56492
  544   -1    4 -15.8283318348  34.58755
  545   -1    4 -15.8283318349  34.52530
  546   -1    4 -15.8283318350  34.40604
  547   -1    4 -15.8283318351  34.68957
  548   -1    4 -15.8283318352  34.40688
  549   -1    4 -15.8283318385  34.72965
  550   -1    4 -15.8283318386  34.74821
  551   -1    4 -15.8283318387  34.83071
  552   -1    4 -15.8283318388  34.80560
  553   -1    4 -15.8283318389  34.86270
  554   -1    4 -15.8283318390  34.90872
  555   -1    4 -15.8283318397  34.94558
  556   -1    4 -15.8283318398  34.94999
  557   -1    4 -15.8283318400  34.98555
  558   -1    4 -15.8283320554  11.28903
  559   -1    4 -15.8283320560  11.63936
  560   -1    4 -15.8283320562  12.09312
  561   -1    4 -15.8283320565  13.34384
  562   -1    4 -15.8283320572  14.08042
  563   -1    4 -15.8283320573  14.51576
  564   -1    4 -15.8283320582  15.26834
  565   -1    4 -15.8283320583  15.29901
  566   -1    4 -15.8283320588  15.68636
  567   -1    4 -15.8283320590  15.79985
  568   -1    4 -15.8283320591  16.08249
  569   -1    4 -15.8283320592  16.23841
  570   -1    4 -15.8283320593  16.48447
  571   -1    4 -15.8283320599  16.73473
  572   -1    4 -15.8283320602  16.91509
  573   -1    4 -15.8283320605  17.31681
  574   -1    4 -15.8283320611  17.55102
  575   -1    4 -15.8283320612  17.61440
  576   -1    4 -15.8283320613  17.85445
  577   -1    4 -15.8283320619  18.03020
  578   -1    4 -15.8283320621  18.19583
  579   -1    4 -15.8283320624  18.39464
  580   -1    4 -15.8283320629  18.58718
  581   -1    4 -15.8283320631  18.64049
  582   -1    4 -15.8283320632  18.80588
  583   -1    4 -15.8283320645  19.07474
  584   -1    4 -15.8283320647  19.25425
  585   -1    4 -15.8283320648  19.42756
  586   -1    4 -15.8283320649  19.63564
  587   -1    4 -15.8283320650  19.76397
  588   -1    4 -15.8283320651  19.78334
  589   -1    4 -15.8283320652  19.85344
  590   -1    4 -15.8283320653  19.90050
  591   -1    4 -15.8283320654  19.97866
  592   -1    4 -15.8283320655  20.25059
  593   -1    4 -15.8283320657  20.40029
  594   -1    4 -15.8283320659  20.61660
  595   -1    4 -15.8283320660  20.73188
  596   -1    4 -15.8283320661  20.82376
  597   -1    4 -15.8283320662  20.94926
  598   -1    4 -15.8283320663  21.24417
  599   -1    4 -15.8283320664  21.07465
  600   -1    4 -15.8283320665  21.10325
  601   -1    4 -15.8283320666  21.33804
  602   -1    4 -15.8283320667  21.63969
  603   -1    4 -15.8283320668  21.46816
  604   -1    4 -15.8283320669  21.49305
  605   -1    4 -15.8283320670  21.54014
  606   -1    4 -15.8283320718  21.82049
  607   -1    4 -15.8283320719  21.91823
  608   -1    4 -15.8283320720  22.08430
  609   -1    4 -15.8283320721  22.11152
  610   -1    4 -15.8283320722  22.19514
  611   -1    4 -15.8283320723  22.28751
  612   -1    4 -15.8283320724  22.32891
  613   -1    4 -15.8283320725  22.48058
  614   -1    4 -15.8283320726  22.51051
  615   -1    4 -15.8283320727  22.58083
  616   -1    4 -15.8283320728  22.67494
  617   -1    4 -15.8283320729  22.71941
  618   -1    4 -15.8283320730  22.81162
  619   -1    4 -15.8283320731  22.89310
  620   -1    4 -15.8283320732  22.96058
  621   -1    4 -15.8283320734  23.29673
  622   -1    4 -15.8283320735  23.02448
  623   -1    4 -15.8283320736  23.05531
  624   -1    4 -15.8283320737  23.18391
  625   -1    4 -15.8283320738  23.10254
  626   -1    4 -15.8283320739  23.13504
  627   -1    4 -15.8283320769  23.46729
  628   -1    4 -15.8283320770  23.49282
  629   -1    4 -15.8283320771  23.61844
  630   -1    4 -15.8283320772  23.67930
  631   -1    4 -15.8283320773  23.76669
  632   -1    4 -15.8283320775  24.03258
  633   -1    4 -15.8283320777  23.78002
  634   -1    4 -15.8283320778  23.93905
  635   -1    4 -15.8283320779  24.13366
  636   -1    4 -15.8283320780  24.10526
  637   -1    4 -15.8283320781  24.32640
  638   -1    4 -15.8283320782  24.36604
  639   -1    4 -15.8283320783  24.43449
  640   -1    4 -15.8283320784  24.44539
  641   -1    4 -15.8283320807  24.68720
  642   -1    4 -15.8283320808  24.72930
  643   -1    4 -15.8283320809  24.79179
  644   -1    4 -15.8283320810  24.81844
  645   -1    4 -15.8283320811  24.87777
  646   -1    4 -15.8283320812  24.92559
  647   -1    4 -15.8283320815  25.69207
  648   -1    4 -15.8283320816  25.17930
  649   -1    4 -15.8283320817  25.32424
